APPLE INC	2010/07/20	2010/07/23	MEDIA & MARKETING	Condé Nast Names New President	By Shira Ovide July 23	 2010 7:10 pm ET	Magazine publisher Condé Nast promoted three senior executives to new roles, firming up the management bench under CEO Chuck Townsend.
APPLE INC	2010/07/20	2010/07/23	TECH	China Says Hon Hai Issues 'Well Handled'	July 23	 2010 8:42 am ET	The labor issues at electronics manufacturing company Hon hai were 'well handled,' says a spokesman for China's labor ministry.
APPLE INC	2010/07/20	2010/07/23	ASIA MARKETS	Industrials Lead Asian Markets	By Colin Ng	 Leslie Shaffer	Asian stocks rose Friday with industrial stocks gaining on Caterpillar's earnings. The Nikkei rose 2.3%.
APPLE INC	2010/07/20	2010/07/23	GADGETS	LG Display Unable to Fill All iPad Orders	By Jung-Ah Lee July 23	 2010 5:53 am ET	LG Display's CEO said the world's second-largest LCD Maker is unable to supply all of the flat-panel screens Apple has ordered for its iPad tablet computers.
APPLE INC	2010/07/20	2010/07/23	TECH	Touring Apps for the Alps	By Jeffrey A. Trachtenberg July 23	 2010 12:01 am ET	Travel book publishers are looking to smartphones and the new wave of tablet devices, including Apple's iPad, to help lift the flagging guidebook business.
APPLE INC	2010/07/20	2010/07/23	TECH	Amazon Locks Up Digital Rights to Some American Classics	By Jeffrey A. Trachtenberg July 23	 2010 12:01 am ET	Amazon locked up exclusive digital rights to some classic American authors, including Updike and Mailer, its latest move in the battle with Apple for e-book dominance.
APPLE INC	2010/07/20	2010/07/23	EARNINGS	AT&T Profit Rises Amid Slight Revenue Growth	By Roger Cheng July 23	 2010 12:01 am ET	AT&T reported a 26% increase in second-quarter earnings amid an investment gain, lower costs and fewer customer defections.
APPLE INC	2010/07/20	2010/07/23	EARNINGS	Rising Costs Clip Amazon Shares	By Geoffrey A. Fowler July 23	 2010 12:01 am ET	Amazon's second-quarter earnings jumped 45% but its shares plunged in after-hours trading as the Internet retailer's bottom line fell far short of analysts' expectations.
APPLE INC	2010/07/20	2010/07/23	EARNINGS	Smartphone Woes Hurt Nokia Results	By Gustav Sandstrom July 22	 2010 10:22 pm ET	Nokia's CEO urged an end to speculation surrounding his future at the company, as the world's largest mobile phone maker said its second-quarter profit fell 40%.
APPLE INC	2010/07/20	2010/07/23	TECH	SanDisk CEO Harari to Retire at Year-End	By Ian Sherr	 Kathy Shwiff July 22	SanDisk CEO Eli Harari will retire at year-end, the company said, surprising investors after revenue came in roughly in line with Wall Street expectations.
APPLE INC	2010/07/20	2010/07/23	EARNINGS	Earnings Watch	July 22	 2010 5:25 pm ET	Earnings Watch
APPLE INC	2010/07/20	2010/07/23	ASIA TECHNOLOGY	LG Display Profit Rises But Panel Prices to Fall	By Jung-Ah Lee July 22	 2010 2:53 pm ET	Flat-panel maker LG Display said its quarterly net profit rose 51%, but the company warned its panel prices will likely fall next quarter due to slowing demand.
APPLE INC	2010/07/20	2010/07/23	EARNINGS	Netflix Net Jumps 34%, Shares Fall	By Matt Jarzemsky July 22	 2010 7:46 am ET	Netflix posted sharply higher earnings on strong revenue growth, but its share price fell as a measure of marketing expense disappointed investors.
APPLE INC	2010/07/20	2010/07/23	EARNINGS	Microsoft Profit Runs on Windows 7	By Nick Wingfield July 22	 2010 12:01 am ET	Microsoft's profit climbed 48% as the software giant benefited from a strong response to the Windows 7 operating system.
APPLE INC	2010/07/20	2010/07/23	MANAGEMENT	Hon Hai Broaches Price Boost	By Owen Fletcher	 Ting-I Tsai July 22	Electronics maker Hon Hai Precision Industry said it will discuss with clients the possibility of raising product prices to offset planned wage increases for its employees.
APPLE INC	2010/07/20	2010/07/23	OPTIONS	Traders Bullish on Apple, Yahoo Alike	By Brendan Conway July 21	 2010 4:39 pm ET	Apple's strong sales impressed investors, while Yahoo's weaker revenue didn't. But options traders placed optimistic bets on shares in both companies.
